timestamp,event_type,application,cpu_pct,ram_pct,hour_slot,extra
2026-03-14 01:49:25.090,mouse_click,dashboard.py - attention_pro - Visual Studio Code,13.5,80.8,01:00,btn:left
2026-03-14 01:49:25.880,mouse_click,dashboard.py - attention_pro - Visual Studio Code,7.9,80.8,01:00,btn:left
2026-03-14 01:49:33.730,idle,dashboard.py - attention_pro - Visual Studio Code,9.6,81.4,01:00,gap:5s
2026-03-14 01:49:35.564,mouse_click,dashboard.py - attention_pro - Visual Studio Code,7.7,81.4,01:00,btn:left
2026-03-14 01:49:40.586,mouse_click,dashboard.py - attention_pro - Visual Studio Code,7.9,81.3,01:00,btn:left
2026-03-14 01:49:41.622,keyboard,dashboard.py - attention_pro - Visual Studio Code,8.1,81.4,01:00,burst:10
2026-03-14 01:49:47.716,window_switch,dashboard.py - attention_pro - Visual Studio Code,11.5,82.3,01:00,→ NeuroFocus · Attention Intelligence and 1 more page - Personal - Microsoft​ Edge
2026-03-14 01:49:47.716,mouse_click,NeuroFocus · Attention Intelligence and 1 more page - Personal - Microsoft​ Edge,11.5,82.3,01:00,btn:left
2026-03-14 01:49:50.028,window_switch,NeuroFocus · Attention Intelligence and 1 more page - Personal - Microsoft​ Edge,8.4,81.9,01:00,→ NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge
2026-03-14 01:49:50.028,mouse_click,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,8.4,81.9,01:00,btn:left
2026-03-14 01:49:55.044,window_switch,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,8.8,81.3,01:00,→ dashboard.py - attention_pro - Visual Studio Code
2026-03-14 01:49:55.044,idle,dashboard.py - attention_pro - Visual Studio Code,8.8,81.3,01:00,gap:5s
2026-03-14 01:50:04.142,mouse_click,dashboard.py - attention_pro - Visual Studio Code,7.0,81.0,01:00,btn:left
2026-03-14 01:50:05.018,window_switch,dashboard.py - attention_pro - Visual Studio Code,12.3,81.2,01:00,→ report_generator.py - attention_pro - Visual Studio Code
2026-03-14 01:50:05.018,mouse_click,report_generator.py - attention_pro - Visual Studio Code,12.3,81.2,01:00,btn:left
2026-03-14 01:50:06.678,mouse_click,report_generator.py - attention_pro - Visual Studio Code,8.5,81.3,01:00,btn:left
2026-03-14 01:50:09.186,window_switch,report_generator.py - attention_pro - Visual Studio Code,8.7,81.4,01:00,→ NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge
2026-03-14 01:50:09.186,mouse_click,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,8.7,81.4,01:00,btn:left
2026-03-14 01:50:10.611,mouse_click,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,9.6,81.6,01:00,btn:left
2026-03-14 01:50:11.623,mouse_click,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,8.3,81.7,01:00,btn:left
2026-03-14 01:50:12.876,mouse_click,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,7.7,81.7,01:00,btn:left
2026-03-14 01:50:18.098,window_switch,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,8.4,81.8,01:00,→ Unknown
2026-03-14 01:50:18.098,idle,Unknown,8.4,81.8,01:00,gap:5s
2026-03-14 01:50:29.567,window_switch,Unknown,8.1,81.6,01:00,→ Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome
2026-03-14 01:50:29.567,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,8.1,81.6,01:00,btn:left
2026-03-14 01:50:32.801,window_switch,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,7.9,81.6,01:00,→ report_generator.py - attention_pro - Visual Studio Code
2026-03-14 01:50:32.801,mouse_click,report_generator.py - attention_pro - Visual Studio Code,7.9,81.6,01:00,btn:left
2026-03-14 01:50:37.975,idle,report_generator.py - attention_pro - Visual Studio Code,7.7,81.6,01:00,gap:5s
2026-03-14 01:51:54.100,window_switch,report_generator.py - attention_pro - Visual Studio Code,7.1,82.9,01:00,→ Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome
2026-03-14 01:51:54.100,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,7.1,82.9,01:00,btn:left
2026-03-14 01:51:55.396,window_switch,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,20.0,83.4,01:00,→ (2) Instagram - Google Chrome
2026-03-14 01:51:55.396,mouse_click,(2) Instagram - Google Chrome,20.0,83.4,01:00,btn:left
